"FID_","x","y","Species","MUSYM","AREASYMBOL","lru","esd","aspct","slope_perc","dem_az_ft","cover_fall","cover_fa_1","cover_spri","cover_sp_1","precip_avg"
,377684.000000,3948781.000000,"Pediocactus peeblesianus","64","AZ631","35-1AZ","Shallow Loamy 10-14 p.z.",61.727699,8.025919,5626.299804,20,23,20,19,15.695300
,376086.000000,3948625.000000,"Pediocactus peeblesianus","64","AZ631","35-1AZ","Shallow Loamy 10-14 p.z.",143.621002,16.274999,5677.399902,22,23,20,21,15.262999
,375693.000000,3948928.000000,"Pediocactus peeblesianus","60","AZ631","35-1AZ","Shallow Loamy 10-14 p.z.",0.128436,1.361389,5706.580078,20,17,20,16,15.339400
,372023.000000,3965583.000000,"Pediocactus peeblesianus","62","AZ631","35-1AZ","Shallow Loamy 10-14 p.z.",180.111999,1.483309,5544.939941,24,26,23,23,14.601200
,365301.000000,3983883.000000,"Pediocactus peeblesianus","62","AZ631","35-1AZ","Shallow Loamy 10-14 p.z.",186.675994,10.097299,5703.899902,17,13,15,14,13.701199
,369507.000000,3964463.000000,"Pediocactus peeblesianus","62","AZ631","35-1AZ","Shallow Loamy 10-14 p.z.",244.201995,4.686620,5590.450195,18,18,21,18,14.180700
,369515.000000,3960718.000000,"Pediocactus peeblesianus","62","AZ631","35-1AZ","Shallow Loamy 10-14 p.z.",29.681499,4.294040,5503.290039,23,28,24,22,14.219300
,367448.000000,3973156.000000,"Pediocactus peeblesianus","62","AZ631","35-1AZ","Shallow Loamy 10-14 p.z.",119.874000,25.213899,5589.600097,21,16,19,16,14.286199
,367221.000000,3956825.000000,"Pediocactus peeblesianus","62","AZ631","35-1AZ","Shallow Loamy 10-14 p.z.",162.770004,5.703189,5613.720214,25,25,25,24,14.293700
,370677.000000,3970348.000000,"Pediocactus peeblesianus","61","AZ631","35-1AZ","Shallow Loamy 10-14 p.z.",260.074005,4.247230,5664.620117,18,16,17,18,14.859900
,370515.000000,3971815.000000,"Pediocactus peeblesianus","61","AZ631","35-1AZ","Shallow Loamy 10-14 p.z.",328.570007,8.907299,5634.620117,20,21,20,18,14.915800
,371277.000000,3969555.000000,"Pediocactus peeblesianus","61","AZ631","35-1AZ","Shallow Loamy 10-14 p.z.",271.190002,3.974699,5626.459960,19,16,16,16,14.927200
,371372.000000,3969126.000000,"Pediocactus peeblesianus","61","AZ631","35-1AZ","Shallow Loamy 10-14 p.z.",100.029998,19.170200,5581.240234,23,23,21,21,14.927200
,373125.000000,3968598.000000,"Pediocactus peeblesianus","61","AZ631","35-1AZ","Shallow Loamy 10-14 p.z.",226.680999,8.844369,5578.609863,22,15,21,13,15.086999
,372311.000000,3969460.000000,"Pediocactus peeblesianus","61","AZ631","35-1AZ","Shallow Loamy 10-14 p.z.",121.555000,8.703379,5640.899902,17,18,18,16,15.004699
,373496.000000,3968528.000000,"Pediocactus peeblesianus","61","AZ631","35-1AZ","Shallow Loamy 10-14 p.z.",192.630004,13.659700,5613.379882,15,18,17,15,15.086999
,369801.000000,3972668.000000,"Pediocactus peeblesianus","61","AZ631","35-1AZ","Shallow Loamy 10-14 p.z.",142.027999,9.765839,5655.729980,17,16,20,17,14.813799
,369501.000000,3964061.000000,"Pediocactus peeblesianus","65","AZ631","35-1AZ","Breaks 10-14 p.z.",181.819000,10.598199,5562.229980,16,9,10,9,14.180700
